id: 0001, acc: 100.00, label: clean, predict: clean
id: 0002, acc: 100.00, label: clean, predict: clean
id: 0003, acc: 100.00, label: clean, predict: clean
id: 0004, acc: 100.00, label: clean, predict: clean
id: 0005, acc: 100.00, label: clean, predict: clean
id: 0006, acc: 100.00, label: clean, predict: clean
id: 0007, acc: 100.00, label: clean, predict: clean
id: 0008, acc: 100.00, label: clean, predict: clean
id: 0009, acc: 100.00, label: clean, predict: clean
id: 0010, acc: 100.00, label: clean, predict: clean
id: 0011, acc: 100.00, label: clean, predict: clean
id: 0012, acc: 100.00, label: clean, predict: clean
id: 0013, acc: 100.00, label: clean, predict: clean
id: 0014, acc: 100.00, label: clean, predict: clean
id: 0015, acc: 100.00, label: clean, predict: clean
id: 0016, acc: 100.00, label: clean, predict: clean
id: 0017, acc: 100.00, label: clean, predict: clean
id: 0018, acc: 100.00, label: clean, predict: clean
id: 0019, acc: 100.00, label: clean, predict: clean
id: 0020, acc: 100.00, label: clean, predict: clean
id: 0021, acc: 100.00, label: clean, predict: clean
id: 0022, acc: 100.00, label: clean, predict: clean
id: 0023, acc: 100.00, label: clean, predict: clean
id: 0024, acc: 100.00, label: clean, predict: clean
id: 0025, acc: 100.00, label: clean, predict: clean
id: 0026, acc: 100.00, label: clean, predict: clean
id: 0027, acc: 100.00, label: clean, predict: clean
id: 0028, acc: 100.00, label: clean, predict: clean
id: 0029, acc: 100.00, label: clean, predict: clean
id: 0030, acc: 100.00, label: clean, predict: clean
id: 0031, acc: 100.00, label: clean, predict: clean
id: 0032, acc: 100.00, label: clean, predict: clean
id: 0033, acc: 100.00, label: clean, predict: clean
id: 0034, acc: 100.00, label: clean, predict: clean
id: 0035, acc: 100.00, label: clean, predict: clean
id: 0036, acc: 100.00, label: clean, predict: clean
id: 0037, acc: 100.00, label: clean, predict: clean
id: 0038, acc: 100.00, label: clean, predict: clean
id: 0039, acc: 100.00, label: clean, predict: clean
id: 0040, acc: 100.00, label: clean, predict: clean
id: 0041, acc: 100.00, label: clean, predict: clean
id: 0042, acc: 100.00, label: clean, predict: clean
id: 0043, acc: 100.00, label: clean, predict: clean
id: 0044, acc: 100.00, label: clean, predict: clean
id: 0045, acc: 100.00, label: clean, predict: clean
id: 0046, acc: 100.00, label: clean, predict: clean
id: 0047, acc: 100.00, label: clean, predict: clean
id: 0048, acc: 100.00, label: clean, predict: clean
id: 0049, acc: 100.00, label: clean, predict: clean
id: 0050, acc: 100.00, label: clean, predict: clean
