One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

One

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0001, acc: 0.00, label: , predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: MilitaryParade
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0002, acc: 0.00, label: , predict: BlowingCandles
id: 0002, acc: 0.00, label: , predict: MilitaryParade
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0003, acc: 0.00, label: , predict: ApplyLipstick
id: 0003, acc: 0.00, label: , predict: ApplyLipstick
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0004, acc: 25.00, label: , predict: ApplyEyeMakeup
id: 0004, acc: 25.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 0.00, label: ApplyEyeMakeup, predict: JugglingBalls
id: 0005, acc: 40.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 40.00, label: , predict: ApplyEyeMakeup
id: 0006, acc: 0.00, label: ApplyEyeMakeup, predict: Billiards
id: 0006, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0006, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0007, acc: 0.00, label: ApplyEyeMakeup, predict: RockClimbingIndoor
id: 0007, acc: 57.14, label: , predict: ApplyEyeMakeup
id: 0007, acc: 57.14, label: , predict: ApplyEyeMakeup
One

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0001, acc: 0.00, label: , predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: MilitaryParade
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: MilitaryParade
id: 0002, acc: 0.00, label: , predict: BlowingCandles
id: 0002, acc: 0.00, label: , predict: MilitaryParade
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0003, acc: 0.00, label: , predict: ApplyLipstick
id: 0003, acc: 33.33, label: , predict: ApplyEyeMakeup
