Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

Framing

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: HeadMassage
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0002, acc: 0.00, label: , predict: BlowingCandles
id: 0002, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 0.00, label: , predict: BlowingCandles
id: 0003, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 0.00, label: , predict: MilitaryParade
id: 0004, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 20.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 80.00, label: , predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 33.33, label: , predict: ApplyEyeMakeup
id: 0006, acc: 83.33, label: , predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 28.57, label: , predict: MilitaryParade
id: 0007, acc: 85.71, label: , predict: ApplyEyeMakeup
Framing

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: HeadMassage
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0002, acc: 0.00, label: , predict: BlowingCandles
id: 0002, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 0.00, label: , predict: BlowingCandles
id: 0003, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 0.00, label: , predict: MilitaryParade
id: 0004, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 20.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 80.00, label: , predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 33.33, label: , predict: ApplyEyeMakeup
id: 0006, acc: 83.33, label: , predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 28.57, label: , predict: MilitaryParade
id: 0007, acc: 85.71, label: , predict: ApplyEyeMakeup
id: 0008, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 25.00, label: , predict: MilitaryParade
id: 0008, acc: 87.50, label: , predict: ApplyEyeMakeup
id: 0009, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 22.22, label: , predict: MilitaryParade
id: 0009, acc: 88.89, label: , predict: ApplyEyeMakeup
Framing

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: BlowingCandles
id: 0001, acc: 0.00, label: , predict: HeadMassage
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0002, acc: 0.00, label: , predict: BlowingCandles
id: 0002, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0003, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0003, acc: 0.00, label: , predict: BlowingCandles
id: 0003, acc: 66.67, label: , predict: ApplyEyeMakeup
id: 0004, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0004, acc: 0.00, label: , predict: MilitaryParade
id: 0004, acc: 75.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0005, acc: 20.00, label: , predict: ApplyEyeMakeup
id: 0005, acc: 80.00, label: , predict: ApplyEyeMakeup
id: 0006, acc: 66.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 33.33, label: , predict: ApplyEyeMakeup
id: 0006, acc: 83.33, label: , predict: ApplyEyeMakeup
id: 0007, acc: 71.43, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 28.57, label: , predict: MilitaryParade
id: 0007, acc: 85.71, label: , predict: ApplyEyeMakeup
id: 0008, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 25.00, label: , predict: MilitaryParade
id: 0008, acc: 87.50, label: , predict: ApplyEyeMakeup
id: 0009, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 22.22, label: , predict: MilitaryParade
id: 0009, acc: 88.89, label: , predict: ApplyEyeMakeup
id: 0010, acc: 70.00, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0010, acc: 20.00, label: , predict: MilitaryParade
id: 0010, acc: 80.00, label: , predict: ShavingBeard
id: 0011, acc: 72.73, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0011, acc: 27.27, label: , predict: ApplyEyeMakeup
id: 0011, acc: 81.82, label: , predict: ApplyEyeMakeup
id: 0012, acc: 75.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0012, acc: 25.00, label: , predict: Haircut
id: 0012, acc: 83.33, label: , predict: ApplyEyeMakeup
id: 0013, acc: 76.92, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0013, acc: 23.08, label: , predict: ApplyLipstick
id: 0013, acc: 84.62, label: , predict: ApplyEyeMakeup
id: 0014, acc: 78.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0014, acc: 28.57, label: , predict: ApplyEyeMakeup
id: 0014, acc: 85.71, label: , predict: ApplyEyeMakeup
id: 0015, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0015, acc: 33.33, label: , predict: ApplyEyeMakeup
id: 0015, acc: 86.67, label: , predict: ApplyEyeMakeup
id: 0016, acc: 75.00, label: ApplyEyeMakeup, predict: Bowling
id: 0016, acc: 31.25, label: , predict: ApplyLipstick
id: 0016, acc: 87.50, label: , predict: ApplyEyeMakeup
id: 0017, acc: 76.47, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0017, acc: 35.29, label: , predict: ApplyEyeMakeup
id: 0017, acc: 88.24, label: , predict: ApplyEyeMakeup
id: 0018, acc: 77.78, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 38.89, label: , predict: ApplyEyeMakeup
id: 0018, acc: 88.89, label: , predict: ApplyEyeMakeup
id: 0019, acc: 78.95, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 36.84, label: , predict: MilitaryParade
id: 0019, acc: 89.47, label: , predict: ApplyEyeMakeup
id: 0020, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0020, acc: 40.00, label: , predict: ApplyEyeMakeup
id: 0020, acc: 90.00, label: , predict: ApplyEyeMakeup
id: 0021, acc: 80.95, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 42.86, label: , predict: ApplyEyeMakeup
id: 0021, acc: 90.48, label: , predict: ApplyEyeMakeup
id: 0022, acc: 81.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 45.45, label: , predict: ApplyEyeMakeup
id: 0022, acc: 90.91, label: , predict: ApplyEyeMakeup
id: 0023, acc: 82.61, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 47.83, label: , predict: ApplyEyeMakeup
id: 0023, acc: 91.30, label: , predict: ApplyEyeMakeup
id: 0024, acc: 83.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0024, acc: 50.00, label: , predict: ApplyEyeMakeup
id: 0024, acc: 91.67, label: , predict: ApplyEyeMakeup
id: 0025, acc: 84.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 52.00, label: , predict: ApplyEyeMakeup
id: 0025, acc: 92.00, label: , predict: ApplyEyeMakeup
id: 0026, acc: 84.62, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 53.85, label: , predict: ApplyEyeMakeup
id: 0026, acc: 92.31, label: , predict: ApplyEyeMakeup
id: 0027, acc: 85.19, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 55.56, label: , predict: ApplyEyeMakeup
id: 0027, acc: 92.59, label: , predict: ApplyEyeMakeup
id: 0028, acc: 85.71, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 53.57, label: , predict: MilitaryParade
id: 0028, acc: 92.86, label: , predict: ApplyEyeMakeup
id: 0029, acc: 86.21, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 55.17, label: , predict: ApplyEyeMakeup
id: 0029, acc: 93.10, label: , predict: ApplyEyeMakeup
id: 0030, acc: 86.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 56.67, label: , predict: ApplyEyeMakeup
id: 0030, acc: 93.33, label: , predict: ApplyEyeMakeup
id: 0031, acc: 87.10, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 58.06, label: , predict: ApplyEyeMakeup
id: 0031, acc: 93.55, label: , predict: ApplyEyeMakeup
id: 0032, acc: 87.50, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 59.38, label: , predict: ApplyEyeMakeup
id: 0032, acc: 93.75, label: , predict: ApplyEyeMakeup
id: 0033, acc: 87.88, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 57.58, label: , predict: MilitaryParade
id: 0033, acc: 93.94, label: , predict: ApplyEyeMakeup
id: 0034, acc: 88.24, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0034, acc: 58.82, label: , predict: ApplyEyeMakeup
id: 0034, acc: 94.12, label: , predict: ApplyEyeMakeup
id: 0035, acc: 88.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 60.00, label: , predict: ApplyEyeMakeup
id: 0035, acc: 94.29, label: , predict: ApplyEyeMakeup
id: 0036, acc: 86.11, label: ApplyEyeMakeup, predict: BenchPress
id: 0036, acc: 58.33, label: , predict: MilitaryParade
id: 0036, acc: 94.44, label: , predict: ApplyEyeMakeup
id: 0037, acc: 83.78, label: ApplyEyeMakeup, predict: BenchPress
id: 0037, acc: 56.76, label: , predict: MilitaryParade
id: 0037, acc: 94.59, label: , predict: ApplyEyeMakeup
id: 0038, acc: 81.58, label: ApplyEyeMakeup, predict: BenchPress
id: 0038, acc: 55.26, label: , predict: MilitaryParade
id: 0038, acc: 94.74, label: , predict: ApplyEyeMakeup
id: 0039, acc: 79.49, label: ApplyEyeMakeup, predict: Haircut
id: 0039, acc: 53.85, label: , predict: Haircut
id: 0039, acc: 92.31, label: , predict: Haircut
id: 0040, acc: 80.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0040, acc: 55.00, label: , predict: ApplyEyeMakeup
id: 0040, acc: 92.50, label: , predict: ApplyEyeMakeup
id: 0041, acc: 80.49, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 56.10, label: , predict: ApplyEyeMakeup
id: 0041, acc: 92.68, label: , predict: ApplyEyeMakeup
id: 0042, acc: 80.95, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 57.14, label: , predict: ApplyEyeMakeup
id: 0042, acc: 92.86, label: , predict: ApplyEyeMakeup
id: 0043, acc: 79.07, label: ApplyEyeMakeup, predict: Knitting
id: 0043, acc: 55.81, label: , predict: Haircut
id: 0043, acc: 90.70, label: , predict: Knitting
id: 0044, acc: 77.27, label: ApplyEyeMakeup, predict: Knitting
id: 0044, acc: 54.55, label: , predict: Haircut
id: 0044, acc: 88.64, label: , predict: Knitting
id: 0045, acc: 77.78, label: ApplyLipstick, predict: ApplyLipstick
id: 0045, acc: 53.33, label: , predict: Haircut
id: 0045, acc: 86.67, label: , predict: ApplyEyeMakeup
id: 0046, acc: 78.26, label: ApplyLipstick, predict: ApplyLipstick
id: 0046, acc: 52.17, label: , predict: Haircut
id: 0046, acc: 86.96, label: , predict: ApplyLipstick
id: 0047, acc: 78.72, label: ApplyLipstick, predict: ApplyLipstick
id: 0047, acc: 51.06, label: , predict: Haircut
id: 0047, acc: 85.11, label: , predict: ApplyEyeMakeup
id: 0048, acc: 79.17, label: ApplyLipstick, predict: ApplyLipstick
id: 0048, acc: 50.00, label: , predict: MilitaryParade
id: 0048, acc: 85.42, label: , predict: ApplyLipstick
id: 0049, acc: 79.59, label: ApplyLipstick, predict: ApplyLipstick
id: 0049, acc: 51.02, label: , predict: ApplyLipstick
id: 0049, acc: 85.71, label: , predict: ApplyLipstick
